image_dir,description,text
..\train\data\output\divide_images_train\Capitulo 4\Comic4_003\panel_4.jpg,A man crashes his head and broke a box. A hooked man has a shocked face. A man with a cloack and a hood is running forward. Edrei shows surprised, ¡AARGH!
..\train\data\output\divide_images_train\Capitulo 4\Comic4_003\panel_5.jpg,A stick rolls in the air. A foot is hitted. A man stomps on the floor,
..\train\data\output\divide_images_train\Capitulo 4\Comic4_004\panel_1.jpg,Edrei appears concerned holding his wand. Escoria is surrounded by a yellow glow and has shiny eyes with an angry ando powerful expression. A blonde man looks startled,
..\train\data\output\divide_images_train\Capitulo 4\Comic4_004\panel_2.jpg,A blonde man i trying to push away Edrei. Escoria's face looks angry. A hand grips an arm. Escoria is throwing a blonde man. A blonde man falls against a man with a cloack,
..\train\data\output\divide_images_train\Capitulo 4\Comic4_004\panel_3.jpg,A blonde man falls against a man with a cloack. a small sack shines on the floor,
..\train\data\output\divide_images_train\Capitulo 4\Comic4_004\panel_4.jpg,Edrei looks back himself with a happy face. A bald man with a beard is holding a knife, ¡ESCORIA!
..\train\data\output\divide_images_train\Capitulo 4\Comic4_004\panel_5.jpg,Escoria has a furious face and a dangerous looking eyes,
..\train\data\output\divide_images_train\Capitulo 4\Comic4_004\panel_6.jpg,A bald man is hidding behind a box,
..\train\data\output\divide_images_train\Capitulo 4\Comic4_004\panel_7.jpg,A bald man with a beard looks scared,
..\train\data\output\divide_images_train\Capitulo 4\Comic4_004\panel_8.jpg,Escoria and Edrei are walking down a street. Escoria and Edrei are talking with a calm expression. A boat seals the sea. Escoria turns her head to the right with a comical angry face. Edrei is turned back and seems concerned,...AAAY MI ESPALDA... ERA EVIDENTE QUE ERA UNA TRAMPA SI NO LLEGAS A APARECER HUBIESE TENIDO PROBLEMAS EL PRIMER PASO ES ACEPTARLO. CUANDO TENGAMOS PROBLEMAS INTENTA SIEMPRE. ENTRE LOS ENEMIGOS Y TÚ. YO ESTÉ DE POR MEDIO. ¿Y SI NO ES POSIBLE? ENTONCES CONCÉNTRATE EN DEFENDERTE Y SALVARTE ¿ACABAMOS DE PERDER EL BARCO?
..\train\data\output\divide_images_train\Capitulo 5\Comic5_001\panel_1.jpg,A sailing ship navigates the water at night near a city,KUJIRA DAO
..\train\data\output\divide_images_train\Capitulo 5\Comic5_001\panel_2.jpg,Escoria and Edrei lands from the shipboard. A tiger looks back him. A minotaur with a red cloac raises his fist near a thing poor man,
..\train\data\output\divide_images_train\Capitulo 5\Comic5_001\panel_3.jpg,Edrei has a scared face and shows his teeth,
..\train\data\output\divide_images_train\Capitulo 5\Comic5_001\panel_4.jpg,A hand firmly grips an arm,
..\train\data\output\divide_images_train\Capitulo 5\Comic5_001\panel_5.jpg,Escoria holds Edrei's arm. Edrei seems scared. Escoria holds a sword in her back,NI SE TE OCURRA SEPARARTE DE MI GUARDA EL ORO COMO TE EXPLIQUÉ EN EL BARCO Y NO HABRÁ PROBLEMAS
..\train\data\output\divide_images_train\Capitulo 5\Comic5_002\panel_1.jpg,Escoria and Edrei walks among a lot of people straight to a building. The lights of a building are turned on. Edrei looks back him with a worried expression,
..\train\data\output\divide_images_train\Capitulo 5\Comic5_002\panel_2.jpg,Five people and one minutaur are standing around a table. A bald man wears a cloac with a patience look. A minotaur is arm crossed and stands against a wall. A soldier with an ornate helmet and an armor warches quietly. A sitted man has is eyes closed and writes a paper. Escoria and Edrei are turned away,
..\train\data\output\divide_images_train\Capitulo 5\Comic5_002\panel_3.jpg,Escoria smiles with a funny face, 
..\train\data\output\divide_images_train\Capitulo 5\Comic5_002\panel_4.jpg,Edrei looks to his left with a questioning expression,¿QUÉ TE HACE TANTA GRACIA. ESCORIA?
..\train\data\output\divide_images_train\Capitulo 5\Comic5_003\panel_1.jpg,Escoria looks happy and holds a sword in her back, HACÍA TIEMPO QUE NO ME HORMIGUEABA EL VIENTRE POR UNA BATALLA. PARECE QUE AQUÍ TENDREMOS ALGÚN DIGNO RIVAL...
..\train\data\output\divide_images_train\Capitulo 5\Comic5_003\panel_2.jpg,Edrei and Escoria are standing near a desktop with an ornate armored guard holding a spear and a man with a long blacj beard and sharped ears writes a paper,
..\train\data\output\divide_images_train\Capitulo 5\Comic5_003\panel_3.jpg,A hand slices a letter in a desktop who has a man writting on it,
..\train\data\output\divide_images_train\Capitulo 5\Comic5_003\panel_4.jpg,A man with a long black beard and sharped ears reads a letter,
..\train\data\output\divide_images_train\Capitulo 5\Comic5_004\panel_1.jpg,Edrei peeks out from behind Escoria with a confused expression. Escoria smiles,?
..\train\data\output\divide_images_train\Capitulo 5\Comic5_004\panel_2.jpg,A man with a long black beard and sharped ears gives two papers to the front with eyes closed,ENTRAD POR LA PUERTA OESTE. ALLÍ OS DARÁN LA ORDEN DE ENTRAR A LA ARENA CUANDO OS TOQUE
..\train\data\output\divide_images_train\Capitulo 5\Comic5_004\panel_3.jpg,A hand holds two papers,
..\train\data\output\divide_images_train\Capitulo 5\Comic5_004\panel_4.jpg,Edrei and Escoria walks throw a dark entrance. Edrei looks cautious,
..\train\data\output\divide_images_train\Capitulo 5\Comic5_005\panel_1.jpg,Two people descend a staircase into a room with a bench in front of a window,
..\train\data\output\divide_images_train\Capitulo 5\Comic5_005\panel_2.jpg,Escoria holds her sword with a tranquil face. Edrei looks back. A minotaur is sitting a bench near a window. A red dressed woman with glasses walks holding papers,
..\train\data\output\divide_images_train\Capitulo 5\Comic5_005\panel_3.jpg,Edrei and Escoria looks back theirselves. A woman with glasses holds a scroll with a happy expression, PERDONAD. VENGO A INFORMAROS LAS NORMAS ¿PUEDO VER SUS TARJETAS?
..\train\data\output\divide_images_train\Capitulo 5\Comic5_005\panel_4.jpg,A hand holds a card. A woman with glasses fits her glasses to the face and holds scroll. A woman with glasses pull up a finger and holds a scroll, CUANDO OS LLAME. VENDRÉIS. PODÉIS USAR VUESTRO ARMAMENTO. SI NO TENÉIS SE OS PROPORCIONARÁ UNO QUE DEBERÁ SER DEVUELTO AL FINALIZAR. POR ÚLTIMO. LOS HECHIZOS DEMASIADO PELIGROSOS ESTÁN RESTRINGIDOS. SI ALGUNO INTENTASE ALGO ASÍ. SERÁ DESCALIFICADO.
..\train\data\output\divide_images_train\Capitulo 5\Comic5_005\panel_5.jpg,Edrei and Escoria are sitted down. Edrei has an ill face and the eyes closed. Escoria smiles and holds a sword in her shoulder, TRAS VARIOS MINUTOS... AY NOOO... ¡¡ESCORIA Y EDREI!!
..\train\data\output\divide_images_train\Capitulo 5\Comic5_005\panel_6.jpg,Escoria and Edrei are walking throw a shiny door. Escoria holds a sword with her right arm and shoulder. Edrei look at his right and cry,
..\train\data\output\divide_images_train\Capitulo 6\Comic6_001\panel_1.jpg,A lot of people and a tiger claims and shouts excited,
..\train\data\output\divide_images_train\Capitulo 6\Comic6_001\panel_2.jpg,Edrei and Escoria are in front of a opened iron gate. Escoria greets holding her sword with a cheerful expression. Edrei looks cautious,
..\train\data\output\divide_images_train\Capitulo 6\Comic6_002\panel_1.jpg,A vibrant sound representation conveying an impact, ¡¡¡POM!!! ¡¡¡POM!!!
..\train\data\output\divide_images_train\Capitulo 6\Comic6_002\panel_2.jpg,Edrei and Escoria takes a guard battle position. Edrei holds his magic wand. Escoria holds her sword,
..\train\data\output\divide_images_train\Capitulo 6\Comic6_002\panel_3.jpg,A green threaten shinning eyes appears behind a closed iron gate, GRRRRRRR
..\train\data\output\divide_images_train\Capitulo 6\Comic6_003\panel_1.jpg,A beast paws lift a iron gate,CREEECK
..\train\data\output\divide_images_train\Capitulo 6\Comic6_003\panel_2.jpg,A chimera shows itself in a arena and roars with fury,
..\train\data\output\divide_images_train\Capitulo 6\Comic6_003\panel_3.jpg,A chimera roars with a fearsome expression showing its teeth, RAAAAAAAWRRR
..\train\data\output\divide_images_train\Capitulo 6\Comic6_004\panel_1.jpg,A chimera stands imposing in a arena,
..\train\data\output\divide_images_train\Capitulo 6\Comic6_004\panel_2.jpg,Escoria and Edrei stands deffensive in a arena,
..\train\data\output\divide_images_train\Capitulo 6\Comic6_004\panel_3.jpg,A chimera focus his view on Edrei who is in guard position. Escoria stands near him holding her sword with both hands,
..\train\data\output\divide_images_train\Capitulo 6\Comic6_004\panel_4.jpg,Escoria looks worried at Edrei who has a chimera in front of him in a arena. Edrei is turned back and looks scared,
..\train\data\output\divide_images_train\Capitulo 6\Comic6_005\panel_1.jpg,Escoria charges fearless with a battle scream, AAAAAAAAAAAAH!!
..\train\data\output\divide_images_train\Capitulo 6\Comic6_005\panel_2.jpg,Escoria prepares her sword to attack. A chimera jumps and attacks showing its claws and teeth,
..\train\data\output\divide_images_train\Capitulo 6\Comic6_005\panel_3.jpg,Escoria jumps holding her sword with boch arms and prepares to attack,
..\train\data\output\divide_images_train\Capitulo 6\Comic6_005\panel_4.jpg,Escoria looks back with a surprised face. The chimera passes by and charges forward,
..\train\data\output\divide_images_train\Capitulo 6\Comic6_005\panel_5.jpg,A beast attacks Edrei with its claw. Edrei cast a magic shiel with his wand. The magic shield cracks,
..\train\data\output\divide_images_train\Capitulo 6\Comic6_006\panel_1.jpg,Edrei covers his face with both arms and shows his teeth. A magic shield crashes violently,AGH!! CRASH!!!!
..\train\data\output\divide_images_train\Capitulo 6\Comic6_006\panel_2.jpg,Edrei falls with the back on the floor. Edrei has a painful face. A book is falling,
..\train\data\output\divide_images_train\Capitulo 6\Comic6_006\panel_3.jpg,Escoria slices her sword against a beast and wound it,
..\train\data\output\divide_images_train\Capitulo 6\Comic6_007\panel_1.jpg,A chimera looks back ands roars to Escoria,¡APARTA HUMANA. ESTO NO TE INCUMBE AÚN
..\train\data\output\divide_images_train\Capitulo 6\Comic6_007\panel_2.jpg,Escoria looks surprised,
..\train\data\output\divide_images_train\Capitulo 6\Comic6_007\panel_3.jpg,Escoria is turned back and looks at Edrei's legs on an arena scenario,
..\train\data\output\divide_images_train\Capitulo 6\Comic6_008\panel_1.jpg,Edrei points with his wand. Edrei looks wounded and hurted. A lightning impacts the floor near a chimera. A chimera jumps and evade the lightning,THOOM!!
..\train\data\output\divide_images_train\Capitulo 6\Comic6_008\panel_2.jpg,A beast tail flush the air,
..\train\data\output\divide_images_train\Capitulo 6\Comic6_008\panel_3.jpg,A beast tail impacts Escoria. Escoria defends herself with both arms. Escoria blocks the attack with arms and the sword,
..\train\data\output\divide_images_train\Capitulo 6\Comic6_009\panel_1.jpg,Escoria is pushed away with force. Escoria blocks the attack. A chimera looks back. A shiny pendant bights from a chimera's neck. Escoria shouts,¡¡EDREI!! EN EL CUELLO TIENE ALGO ¿¡QUÉ ES?!
..\train\data\output\divide_images_train\Capitulo 6\Comic6_009\panel_2.jpg,Edrei places his hand as a visor and sharpens his gaze,¿CUELLO?
..\train\data\output\divide_images_train\Capitulo 6\Comic6_009\panel_3.jpg,A gold pendant with an emerald shines in green magic inside a bunch of hair,
..\train\data\output\divide_images_train\Capitulo 6\Comic6_009\panel_4.jpg,Edrei's face looks shocked and surprised,
..\train\data\output\divide_images_train\Capitulo 6\Comic6_010\panel_1.jpg,Edrei shouts holding a magic wand. A Chimera jumps and attacks with its claws. Edrei narrowly dodges with a comical look of distress,¡¡ES UN SELLO MÁGICO!! AAAH!!! ESQUIVA
..\train\data\output\divide_images_train\Capitulo 6\Comic6_010\panel_2.jpg,A claw is about to attack Edrei. Edrei looks concerned and tired,...¡¡ALGUIEN LA ESTÁ CONTROLANDO!!
..\train\data\output\divide_images_train\Capitulo 6\Comic6_010\panel_3.jpg,A rock is smashing a beast claw, PAM!!
..\train\data\output\divide_images_train\Capitulo 6\Comic6_010\panel_4.jpg,Escoria runs forward holding a sword an making a furious face,
..\train\data\output\divide_images_train\Capitulo 6\Comic6_010\panel_5.jpg,Escoria stands near Edrei with a tired expression. Edrei looks surprised, BUSCA QUIEN LO CONTROLA. YO ME ENCARGO DE LA CRIATURA
..\train\data\output\divide_images_train\Capitulo 6\Comic6_011\panel_1.jpg,Escoria swings her sword in front of a chimera. A chimera is roaring. Edrei runs holding a wand looking around him. Escoria shouts  in fury and a shine like fire is covering her,AAAAAAAAAAAARGHHH!!!
..\train\data\output\divide_images_train\Capitulo 6\Comic6_011\panel_2.jpg,A lot of flames are arounding a woman with a sword,
..\train\data\output\divide_images_train\Capitulo 6\Comic6_011\panel_3.jpg,Edrei look back him with a surprised and scary face,
..\train\data\output\divide_images_train\Capitulo 7\Comic7_001\panel_1.jpg,Escoria stands and walks with flames around her,
..\train\data\output\divide_images_train\Capitulo 7\Comic7_001\panel_2.jpg,A chimera groans and shows its teeth. A beast claw is attacking,GRRRRRR...
..\train\data\output\divide_images_train\Capitulo 7\Comic7_001\panel_2.jpg,Escoria looks intimidating to the front and has fire around her,
..\train\data\output\divide_images_train\Capitulo 7\Comic7_001\panel_4.jpg,A chimera claw is touching a shoulder. The shoulder is burning and despites hot flames,
..\train\data\output\divide_images_train\Capitulo 7\Comic7_002\panel_1.jpg,A scared chimera withdraws its paw. The paw is smoking and has been burned by the heat,
..\train\data\output\divide_images_train\Capitulo 7\Comic7_002\panel_2.jpg,Escoria stands in a powerful pose and looks serious to the front. The are flames around Escoria,MIENTRAS TANTO
..\train\data\output\divide_images_train\Capitulo 7\Comic7_002\panel_3.jpg,Edrei is casting a spell. Edrei's pendant shines with magic. Edrei holds a wand with his hand,
..\train\data\output\divide_images_train\Capitulo 7\Comic7_003\panel_1.jpg,A elf holds a wand and cast a magic spell around a lot of people. The magic wand brights green,
..\train\data\output\divide_images_train\Capitulo 7\Comic7_003\panel_2.jpg,Escoria runs holding her sword surrounded by flames,
..\train\data\output\divide_images_train\Capitulo 7\Comic7_003\panel_3.jpg,A chimera is runing in fear. A fire blight shows in it's body,
..\train\data\output\divide_images_train\Capitulo 7\Comic7_003\panel_4.jpg,Escoria attacks with a fire sword. The sword has flames in the edge. There are flames around the scene,
..\train\data\output\divide_images_train\Capitulo 7\Comic7_004\panel_1.jpg,A chimera looks scared at the fire,
..\train\data\output\divide_images_train\Capitulo 7\Comic7_004\panel_2.jpg,Escoria jumps into the fire holding a sword. Escoria attacks a chimera woth a fire sword. The sword has flames on its edge. A chimera is wounded by a sword,
..\train\data\output\divide_images_train\Capitulo 7\Comic7_004\panel_3.jpg,A chimera screams into a bunch of flames. Fire is around and burns a chimera,
..\train\data\output\divide_images_train\Capitulo 7\Comic7_005\panel_1.jpg,A beast is lied on the floor and flames are burning it,
..\train\data\output\divide_images_train\Capitulo 7\Comic7_005\panel_2.jpg,Escoria holds a sword. The sword has flames on its edge. A beast is burning on the floor,
..\train\data\output\divide_images_train\Capitulo 7\Comic7_005\panel_3.jpg,Edrei looks worried at his side,¿ESCORIA?
..\train\data\output\divide_images_train\Capitulo 7\Comic7_005\panel_4.jpg,Edrei is running in a arena with his hands lifted,
..\train\data\output\divide_images_train\Capitulo 7\Comic7_006\panel_1.jpg,Edrei and Escoria are crossing a iron gate. Edrei and Escoria are speaking,VI A QUIÉN CONJURABA A LA MANTÍCORA. ERA UN ELFO
..\train\data\output\divide_images_train\Capitulo 7\Comic7_006\panel_2.jpg,Escoria stands with an angry face,BUSQUÉMOSLE. NOS DEBE UN PAR DE RESPUESTAS
..\train\data\output\divide_images_train\Capitulo 7\Comic7_006\panel_3.jpg,Escoria and Edrei are hidden near the bottom of a staircase,
..\train\data\output\divide_images_train\Capitulo 7\Comic7_007\panel_1.jpg,An elf walks down a staircase with a concerned face,ES ESE
..\train\data\output\divide_images_train\Capitulo 7\Comic7_007\panel_2.jpg,Escoria stands behind a man with a long black hair,
..\train\data\output\divide_images_train\Capitulo 7\Comic7_007\panel_3.jpg,Escoria puts her hand in a elf's face to shout him. Escoria looks angry and decided. The elf looks surprised,HMM!!
..\train\data\output\divide_images_train\Capitulo 7\Comic7_007\panel_4.jpg,A hand takes a stick from a belt,
..\train\data\output\divide_images_train\Capitulo 7\Comic7_007\panel_5.jpg,Edrei smiles and holds a wand,¿NO TE DIJERON EN LA ESCUELA DE MAGIA QUE TENÍAS QUE CUIDAR DE TU VARITA?
..\train\data\output\divide_images_train\Capitulo 7\Comic7_007\panel_6.jpg,Escoria has her hand on a man's mouth. Escoria has an angry and intimidating face. A elf looks scared,TÚ Y YO VAMOS A TENER UNA CHARLA PRIVADA ¿TE PARECE?
..\train\data\output\divide_images_train\Capitulo 8\Comic8_001\panel_1.jpg,A man with a red jacket is standing looking throw a window with green curtains,
..\train\data\output\divide_images_train\Capitulo 8\Comic8_001\panel_2.jpg,A luxury door with ornaments is half open,MI SEÑOR. HA LLEGADO
..\train\data\output\divide_images_train\Capitulo 8\Comic8_002\panel_1.jpg,A man with a red jacket is standing looking throw a window with green curtains,
..\train\data\output\divide_images_train\Capitulo 8\Comic8_002\panel_2.jpg,A elf with a black suit crosses a luxury door with serious expression,
..\train\data\output\divide_images_train\Capitulo 8\Comic8_002\panel_3.jpg,E elf is looking throw a room with a library and a desktop with a big painting of a man on the wall,
..\train\data\output\divide_images_train\Capitulo 8\Comic8_003\panel_1.jpg,A man with a red jacket and white eyes is standing in front of a window,
..\train\data\output\divide_images_train\Capitulo 8\Comic8_003\panel_2.jpg,,ESPERO QUE SEAS CAPAZ DE HACER LO QUE DICES SER CAPAZ. CUESTAS DEMASIADO
..\train\data\output\divide_images_train\Capitulo 8\Comic8_003\panel_3.jpg,A elf stands with his arms crossed and a quiet face,LE ASEGURO QUE MIS HONORARIOS SON UN REFLEJO DE MIS CAPACIDADES. MI SEÑOR
..\train\data\output\divide_images_train\Capitulo 8\Comic8_003\panel_4.jpg,A man with white eyes and a red jacket stands in front of a window. Furrows his brow,
..\train\data\output\divide_images_train\Capitulo 8\Comic8_004\panel_1.jpg,A decorated desktop with a small sack on it and luxurious chair, COGE LA BOLSA DE MONEDAS DEL ESCRITORIO. AHÍ TIENES LA MITAD. LA OTRA MITAD CUANDO TERMINES EL TRABAJO
..\train\data\output\divide_images_train\Capitulo 8\Comic8_004\panel_2.jpg,,LO QUIERO MUERTO...
..\train\data\output\divide_images_train\Capitulo 8\Comic8_004\panel_3.jpg,A hand grabbing a small sack,ASÍ SE HARÁ
..\train\data\output\divide_images_train\Capitulo 8\Comic8_004\panel_4.jpg,A person crossing a luxury door with golden ornaments,
..\train\data\output\divide_images_train\Capitulo 8\Comic8_005\panel_1.jpg,A man with a shady face and white eyes looks angry in front of a window,VIGÍLALE. YA SABES QUE HACER...
..\train\data\output\divide_images_train\Capitulo 8\Comic8_005\panel_2.jpg,A person with a cloack and a hood hides in the shadows near a green curtain,
..\train\data\output\divide_images_train\Capitulo 8\Comic8_006\panel_1.jpg,A city with oriental buildings and a river,
..\train\data\output\divide_images_train\Capitulo 8\Comic8_006\panel_2.jpg,Escoria holds an elf by the clothes on a ledge over the void with a city in the background,
..\train\data\output\divide_images_train\Capitulo 8\Comic8_006\panel_3.jpg,Escoria threats an elf grabbing him by the clothes,¿QUIÉN TE ORDENÓ HACER ESTO?
..\train\data\output\divide_images_train\Capitulo 8\Comic8_006\panel_4.jpg,Edrei stands with worried and concerned expression,
..\train\data\output\divide_images_train\Capitulo 8\Comic8_007\panel_1.jpg,An elf face shows a sad expression. He's crying,OS LO DIRÉ. OS LO DIRÉ TODO. ¡PERO NO ME TIRES!
..\train\data\output\divide_images_train\Capitulo 8\Comic8_007\panel_2.jpg,An elf has a surprised face with tears. Escoria's face is shocked, NGH!!
..\train\data\output\divide_images_train\Capitulo 8\Comic8_007\panel_3.jpg,Escoria's face is shocked and surprised,
..\train\data\output\divide_images_train\Capitulo 8\Comic8_008\panel_1.jpg,Edrei and Escoria are leaning on a ledge. Edrei shows impacted and surprised. Escoria has a quiet face. A dead body lies with blood on the floor surrounded by people,
..\train\data\output\divide_images_train\Capitulo 8\Comic8_008\panel_2.jpg,Edrei is standing near a ledge with a surprise expression. Escoria leans and show dissapointment,
..\train\data/output/divide_images_train/Capitulo 8/Comic8_008/panel_3.jpg,A corpse is on a pool of blood. Some people walks around,
..\train\data\output\divide_images_train\Capitulo 8\Comic8_008\panel_4.jpg,Escoria is focusing her look on somewhere. A black person is jumping on a building's roof in a city,
..\train\data\output\divide_images_train\Capitulo 8\Comic8_008\panel_5.jpg,Escoria seems surprised and fits her look,
..\train\data\output\divide_images_train\Capitulo 8\Comic8_008\panel_6.jpg,A figure of a person is jumping on a roof in a city,
..\train\data\output\divide_images_train\Capitulo 9\Comic9_001\panel_1.jpg,Escoria stands with a curious expression,!
..\train\data\output\divide_images_train\Capitulo 9\Comic9_001\panel_2.jpg,Edrei stands near a ledge and shows impacted,
..\train\data\output\divide_images_train\Capitulo 9\Comic9_001\panel_3.jpg,Escoria turns her head to the right,
..\train\data\output\divide_images_train\Capitulo 9\Comic9_001\panel_4.jpg,Escoria is grabbing Edrei's arm and walks. Edrei is looking throw a ledge,
..\train\data\output\divide_images_train\Capitulo 9\Comic9_002\panel_1.jpg,Edrei is wanking with a hang grabbing his arm. He looks upset,
..\train\data\output\divide_images_train\Capitulo 9\Comic9_002\panel_2.jpg,Edrei cries with a sad expression,
..\train\data\output\divide_images_train\Capitulo 9\Comic9_003\panel_1.jpg,Escoria and Edrei are walking throw a street by night. Escoria puts her hand in Edrei's shoulder. They are turned back,
..\train\data\output\divide_images_train\Capitulo 9\Comic9_003\panel_2.jpg,A hand push away Edrei. Edrei is walking turned back,¡AY!
..\train\data\output\divide_images_train\Capitulo 9\Comic9_004\panel_1.jpg,A hand is near Edrei. Edrei cries with a scared expression,
..\train\data\output\divide_images_train\Capitulo 9\Comic9_004\panel_2.jpg,Escoria stands with both arma open,¿QUÉ NARICES TE PASA?
..\train\data\output\divide_images_train\Capitulo 9\Comic9_004\panel_3.jpg,Edrei cries with a sad expression and holds his arm,
..\train\data\output\divide_images_train\Capitulo 9\Comic9_005\panel_1.jpg,Edrei is crying with a tired face,
..\train\data\output\divide_images_train\Capitulo 9\Comic9_005\panel_2.jpg,Edrei turns away his head with an angry face. He is crying,
..\train\data\output\divide_images_train\Capitulo 9\Comic9_005\panel_3.jpg,Escoria grunts and looks irritable,
..\train\data\output\divide_images_train\Capitulo 9\Comic9_006\panel_1.jpg,Escoria has her eyes closed and calm expression,DÉJALO. VAMOS...
..\train\data\output\divide_images_train\Capitulo 9\Comic9_006\panel_2.jpg,A street  with a stairway,NO PUDIMOS EVITARLO...
..\train\data\output\divide_images_train\Capitulo 9\Comic9_007\panel_1.jpg,Escoria and Edrei are walking throw a street in the night,
..\train\data\output\divide_images_train\Capitulo 9\Comic9_007\panel_2.jpg,Edrei and Escoria are entering a building with some lights. The building's door is open,
..\train\data\output\divide_images_train\Capitulo 9\Comic9_008\panel_1.jpg,Escoria look back her with a concerned expression. A man is hiding behind a door,
..\train\data\output\divide_images_train\Capitulo 9\Comic9_008\panel_2.jpg,A hand is possed in a door and opens it,
..\train\data\output\divide_images_train\Capitulo 9\Comic9_008\panel_3.jpg,A woman is walking at night throw a termal garden,
