image_dir,description,text
data\output\divide_images_train\Capitulo 4\Comic4_003\panel_3.jpg,A hand lifts a magic wand. The wand shines with a glow of magic,
data\output\divide_images_train\Capitulo 4\Comic4_003\panel_4.jpg,A man crashes his head and broke a box. A hooked man has a shocked face. A man with a cloack and a hood is running forward. Edrei shows surprised, ¡AARGH!
data\output\divide_images_train\Capitulo 4\Comic4_003\panel_5.jpg,A stick rolls in the air. A foot is hitted. A man stomps on the floor,
data\output\divide_images_train\Capitulo 4\Comic4_004\panel_1.jpg,Edrei appears concerned holding his wand. Escoria is surrounded by a yellow glow and has shiny eyes with an angry ando powerful expression. A blonde man looks startled,
data\output\divide_images_train\Capitulo 4\Comic4_004\panel_2.jpg,A blonde man i trying to push away Edrei. Escoria's face looks angry. A hand grips an arm. Escoria is throwing a blonde man. A blonde man falls against a man with a cloack,
data\output\divide_images_train\Capitulo 4\Comic4_004\panel_3.jpg,A blonde man falls against a man with a cloack. a small sack shines on the floor,
data\output\divide_images_train\Capitulo 4\Comic4_004\panel_4.jpg,Edrei looks back himself with a happy face. A bald man with a beard is holding a knife, ¡ESCORIA!
data\output\divide_images_train\Capitulo 4\Comic4_004\panel_5.jpg,Escoria has a furious face and a dangerous looking eyes,
data\output\divide_images_train\Capitulo 4\Comic4_004\panel_6.jpg,A bald man is hidding behind a box,
data\output\divide_images_train\Capitulo 4\Comic4_004\panel_7.jpg,A bald man with a beard looks scared,
data\output\divide_images_train\Capitulo 4\Comic4_004\panel_8.jpg,Escoria and Edrei are walking down a street. Escoria and Edrei are talking with a calm expression. A boat seals the sea. Escoria turns her head to the right with a comical angry face. Edrei is turned back and seems concerned,...AAAY MI ESPALDA... ERA EVIDENTE QUE ERA UNA TRAMPA SI NO LLEGAS A APARECER HUBIESE TENIDO PROBLEMAS EL PRIMER PASO ES ACEPTARLO. CUANDO TENGAMOS PROBLEMAS INTENTA SIEMPRE. ENTRE LOS ENEMIGOS Y TÚ. YO ESTÉ DE POR MEDIO. ¿Y SI NO ES POSIBLE? ENTONCES CONCÉNTRATE EN DEFENDERTE Y SALVARTE ¿ACABAMOS DE PERDER EL BARCO?
data\output\divide_images_train\Capitulo 5\Comic5_001\panel_1.jpg,A sailing ship navigates the water at night near a city,KUJIRA DAO
data\output\divide_images_train\Capitulo 5\Comic5_001\panel_2.jpg,Escoria and Edrei lands from the shipboard. A tiger looks back him. A minotaur with a red cloac raises his fist near a thing poor man,
data\output\divide_images_train\Capitulo 5\Comic5_001\panel_3.jpg,Edrei has a scared face and shows his teeth,
data\output\divide_images_train\Capitulo 5\Comic5_001\panel_4.jpg,A hand firmly grips an arm,
data\output\divide_images_train\Capitulo 5\Comic5_001\panel_5.jpg,Escoria holds Edrei's arm. Edrei seems scared. Escoria holds a sword in her back,NI SE TE OCURRA SEPARARTE DE MI GUARDA EL ORO COMO TE EXPLIQUÉ EN EL BARCO Y NO HABRÁ PROBLEMAS
data\output\divide_images_train\Capitulo 5\Comic5_002\panel_1.jpg,Escoria and Edrei walks among a lot of people straight to a building. The lights of a building are turned on. Edrei looks back him with a worried expression,
data\output\divide_images_train\Capitulo 5\Comic5_002\panel_2.jpg,Five people and one minutaur are standing around a table. A bald man wears a cloac with a patience look. A minotaur is arm crossed and stands against a wall. A soldier with an ornate helmet and an armor warches quietly. A sitted man has is eyes closed and writes a paper. Escoria and Edrei are turned away,
data\output\divide_images_train\Capitulo 5\Comic5_002\panel_3.jpg,Escoria smiles with a funny face, 
data\output\divide_images_train\Capitulo 5\Comic5_002\panel_4.jpg,Edrei looks to his left with a questioning expression,¿QUÉ TE HACE TANTA GRACIA. ESCORIA?
data\output\divide_images_train\Capitulo 5\Comic5_003\panel_1.jpg,Escoria looks happy and holds a sword in her back, HACÍA TIEMPO QUE NO ME HORMIGUEABA EL VIENTRE POR UNA BATALLA. PARECE QUE AQUÍ TENDREMOS ALGÚN DIGNO RIVAL...
data\output\divide_images_train\Capitulo 5\Comic5_003\panel_2.jpg,Edrei and Escoria are standing near a desktop with an ornate armored guard holding a spear and a man with a long blacj beard and sharped ears writes a paper,
data\output\divide_images_train\Capitulo 5\Comic5_003\panel_3.jpg,A hand slices a letter in a desktop who has a man writting on it,
data\output\divide_images_train\Capitulo 5\Comic5_003\panel_4.jpg,A man with a long black beard and sharped ears reads a letter,
data\output\divide_images_train\Capitulo 5\Comic5_004\panel_1.jpg,Edrei peeks out from behind Escoria with a confused expression. Escoria smiles,?
data\output\divide_images_train\Capitulo 5\Comic5_004\panel_2.jpg,A man with a long black beard and sharped ears gives two papers to the front with eyes closed,ENTRAD POR LA PUERTA OESTE. ALLÍ OS DARÁN LA ORDEN DE ENTRAR A LA ARENA CUANDO OS TOQUE
data\output\divide_images_train\Capitulo 5\Comic5_004\panel_3.jpg,A hand holds two papers,
data\output\divide_images_train\Capitulo 5\Comic5_004\panel_4.jpg,Edrei and Escoria walks throw a dark entrance. Edrei looks cautious,
data\output\divide_images_train\Capitulo 5\Comic5_005\panel_1.jpg,Two people descend a staircase into a room with a bench in front of a window,
data\output\divide_images_train\Capitulo 5\Comic5_005\panel_2.jpg,Escoria holds her sword with a tranquil face. Edrei looks back. A minotaur is sitting a bench near a window. A red dressed woman with glasses walks holding papers,
data\output\divide_images_train\Capitulo 5\Comic5_005\panel_3.jpg,Edrei and Escoria looks back theirselves. A woman with glasses holds a scroll with a happy expression, PERDONAD. VENGO A INFORMAROS LAS NORMAS ¿PUEDO VER SUS TARJETAS?
data\output\divide_images_train\Capitulo 5\Comic5_005\panel_4.jpg,A hand holds a card. A woman with glasses fits her glasses to the face and holds scroll. A woman with glasses pull up a finger and holds a scroll, CUANDO OS LLAME. VENDRÉIS. PODÉIS USAR VUESTRO ARMAMENTO. SI NO TENÉIS SE OS PROPORCIONARÁ UNO QUE DEBERÁ SER DEVUELTO AL FINALIZAR. POR ÚLTIMO. LOS HECHIZOS DEMASIADO PELIGROSOS ESTÁN RESTRINGIDOS. SI ALGUNO INTENTASE ALGO ASÍ. SERÁ DESCALIFICADO.
data\output\divide_images_train\Capitulo 5\Comic5_005\panel_5.jpg,Edrei and Escoria are sitted down. Edrei has an ill face and the eyes closed. Escoria smiles and holds a sword in her shoulder, TRAS VARIOS MINUTOS... AY NOOO... ¡¡ESCORIA Y EDREI!!
data\output\divide_images_train\Capitulo 5\Comic5_005\panel_6.jpg,Escoria and Edrei are walking throw a shiny door. Escoria holds a sword with her right arm and shoulder. Edrei look at his right and cry,
data\output\divide_images_train\Capitulo 6\Comic6_001\panel_1.jpg,A lot of people and a tiger claims and shouts excited,
data\output\divide_images_train\Capitulo 6\Comic6_001\panel_2.jpg,Edrei and Escoria are in front of a opened iron gate. Escoria greets holding her sword with a cheerful expression. Edrei looks cautious,
data\output\divide_images_train\Capitulo 6\Comic6_002\panel_1.jpg,A vibrant sound representation conveying an impact, ¡¡¡POM!!! ¡¡¡POM!!!
data\output\divide_images_train\Capitulo 6\Comic6_002\panel_2.jpg,Edrei and Escoria takes a guard battle position. Edrei holds his magic wand. Escoria holds her sword,
data\output\divide_images_train\Capitulo 6\Comic6_002\panel_3.jpg,A green threaten shinning eyes appears behind a closed iron gate, GRRRRRRR
data\output\divide_images_train\Capitulo 6\Comic6_003\panel_1.jpg,A beast paws lift a iron gate,CREEECK
data\output\divide_images_train\Capitulo 6\Comic6_003\panel_2.jpg,A chimera shows itself in a arena and roars with fury,
data\output\divide_images_train\Capitulo 6\Comic6_003\panel_3.jpg,A chimera roars with a fearsome expression showing its teeth, RAAAAAAAWRRR
data\output\divide_images_train\Capitulo 6\Comic6_004\panel_1.jpg,A chimera stands imposing in a arena,
data\output\divide_images_train\Capitulo 6\Comic6_004\panel_2.jpg,Escoria and Edrei stands deffensive in a arena,
data\output\divide_images_train\Capitulo 6\Comic6_004\panel_3.jpg,A chimera focus his view on Edrei who is in guard position. Escoria stands near him holding her sword with both hands,
data\output\divide_images_train\Capitulo 6\Comic6_004\panel_4.jpg,Escoria looks worried at Edrei who has a chimera in front of him in a arena. Edrei is turned back and looks scared,
data\output\divide_images_train\Capitulo 6\Comic6_005\panel_1.jpg,Escoria charges fearless with a battle scream, AAAAAAAAAAAAH!!
data\output\divide_images_train\Capitulo 6\Comic6_005\panel_2.jpg,Escoria prepares her sword to attack. A chimera jumps and attacks showing its claws and teeth,
data\output\divide_images_train\Capitulo 6\Comic6_005\panel_3.jpg,Escoria jumps holding her sword with boch arms and prepares to attack,
data\output\divide_images_train\Capitulo 6\Comic6_005\panel_4.jpg,Escoria looks back with a surprised face. The chimera passes by and charges forward,
data\output\divide_images_train\Capitulo 6\Comic6_005\panel_5.jpg,A beast attacks Edrei with its claw. Edrei cast a magic shiel with his wand. The magic shield cracks,
data\output\divide_images_train\Capitulo 6\Comic6_006\panel_1.jpg,Edrei covers his face with both arms and shows his teeth. A magic shield crashes violently,AGH!! CRASH!!!!
data\output\divide_images_train\Capitulo 6\Comic6_006\panel_2.jpg,Edrei falls with the back on the floor. Edrei has a painful face. A book is falling,
data\output\divide_images_train\Capitulo 6\Comic6_006\panel_3.jpg,Escoria slices her sword against a beast and wound it,
data\output\divide_images_train\Capitulo 6\Comic6_007\panel_1.jpg,A chimera looks back ands roars to Escoria,¡APARTA HUMANA. ESTO NO TE INCUMBE AÚN
data\output\divide_images_train\Capitulo 6\Comic6_007\panel_2.jpg,Escoria looks surprised,
data\output\divide_images_train\Capitulo 6\Comic6_007\panel_3.jpg,Escoria is turned back and looks at Edrei's legs on an arena scenario,
data\output\divide_images_train\Capitulo 6\Comic6_008\panel_1.jpg,Edrei points with his wand. Edrei looks wounded and hurted. A lightning impacts the floor near a chimera. A chimera jumps and evade the lightning,THOOM!!
data\output\divide_images_train\Capitulo 6\Comic6_008\panel_2.jpg,A beast tail flush the air,
data\output\divide_images_train\Capitulo 6\Comic6_008\panel_3.jpg,A beast tail impacts Escoria. Escoria defends herself with both arms. Escoria blocks the attack with arms and the sword,
data\output\divide_images_train\Capitulo 6\Comic6_009\panel_1.jpg,Escoria is pushed away with force. Escoria blocks the attack. A chimera looks back. A shiny pendant bights from a chimera's neck. Escoria shouts,¡¡EDREI!! EN EL CUELLO TIENE ALGO ¿¡QUÉ ES?!
data\output\divide_images_train\Capitulo 6\Comic6_009\panel_2.jpg,Edrei places his hand as a visor and sharpens his gaze,¿CUELLO?
data\output\divide_images_train\Capitulo 6\Comic6_009\panel_3.jpg,A gold pendant with an emerald shines in green magic inside a bunch of hair,
data\output\divide_images_train\Capitulo 6\Comic6_009\panel_4.jpg,Edrei's face looks shocked and surprised,
data\output\divide_images_train\Capitulo 6\Comic6_010\panel_1.jpg,Edrei shouts holding a magic wand. A Chimera jumps and attacks with its claws. Edrei narrowly dodges with a comical look of distress,"¡¡ES UN SELLO MÁGICO!! AAAH!!! ESQUIVA"
data\output\divide_images_train\Capitulo 6\Comic6_010\panel_2.jpg,A claw is about to attack Edrei. Edrei looks concerned and tired,...¡¡ALGUIEN LA ESTÁ CONTROLANDO!!
data\output\divide_images_train\Capitulo 6\Comic6_010\panel_3.jpg,A rock is smashing a beast claw, PAM!!
data\output\divide_images_train\Capitulo 6\Comic6_010\panel_4.jpg,Escoria runs forward holding a sword an making a furious face,
data\output\divide_images_train\Capitulo 6\Comic6_010\panel_5.jpg,Escoria stands near Edrei with a tired expression. Edrei looks surprised, BUSCA QUIEN LO CONTROLA. YO ME ENCARGO DE LA CRIATURA
data\output\divide_images_train\Capitulo 6\Comic6_011\panel_1.jpg,Escoria swings her sword in front of a chimera. A chimera is roaring. Edrei runs holding a wand looking around him. Escoria shouts  in fury and a shine like fire is covering her,AAAAAAAAAAAARGHHH!!!
data\output\divide_images_train\Capitulo 6\Comic6_011\panel_2.jpg,A lot of flames are arounding a woman with a sword,
data\output\divide_images_train\Capitulo 6\Comic6_011\panel_3.jpg,Edrei look back him with a surprised and scary face,
data\output\divide_images_train\Capitulo 7\Comic7_001\panel_1.jpg,Escoria stands and walks with flames around her,
data\output\divide_images_train\Capitulo 7\Comic7_001\panel_2.jpg,A chimera groans and shows its teeth. A beast claw is attacking,GRRRRRR...
data\output\divide_images_train\Capitulo 7\Comic7_001\panel_2.jpg,Escoria looks intimidating to the front and has fire around her,
data\output\divide_images_train\Capitulo 7\Comic7_001\panel_4.jpg,A chimera claw is touching a shoulder. The shoulder is burning and despites hot flames,
data\output\divide_images_train\Capitulo 7\Comic7_002\panel_1.jpg,A scared chimera withdraws its paw. The paw is smoking and has been burned by the heat,
data\output\divide_images_train\Capitulo 7\Comic7_002\panel_2.jpg,Escoria stands in a powerful pose and looks serious to the front. The are flames around Escoria,MIENTRAS TANTO
data\output\divide_images_train\Capitulo 7\Comic7_002\panel_3.jpg,Edrei is casting a spell. Edrei's pendant shines with magic. Edrei holds a wand with his hand,
data\output\divide_images_train\Capitulo 7\Comic7_003\panel_1.jpg,A elf holds a wand and cast a magic spell around a lot of people. The magic wand brights green,
data\output\divide_images_train\Capitulo 7\Comic7_003\panel_2.jpg,Escoria runs holding her sword surrounded by flames,
data\output\divide_images_train\Capitulo 7\Comic7_003\panel_3.jpg,A chimera is runing in fear. A fire blight shows in it's body,
data\output\divide_images_train\Capitulo 7\Comic7_003\panel_4.jpg,Escoria attacks with a fire sword. The sword has flames in the edge. There are flames around the scene,
data\output\divide_images_train\Capitulo 7\Comic7_004\panel_1.jpg,A chimera looks scared at the fire,
data\output\divide_images_train\Capitulo 7\Comic7_004\panel_2.jpg,Escoria jumps into the fire holding a sword. Escoria attacks a chimera woth a fire sword. The sword has flames on its edge. A chimera is wounded by a sword,
data\output\divide_images_train\Capitulo 7\Comic7_004\panel_3.jpg,A chimera screams into a bunch of flames. Fire is around and burns a chimera,
data\output\divide_images_train\Capitulo 7\Comic7_005\panel_1.jpg,A beast is lied on the floor and flames are burning it,
data\output\divide_images_train\Capitulo 7\Comic7_005\panel_2.jpg,Escoria holds a sword. The sword has flames on its edge. A beast is burning on the floor,
data\output\divide_images_train\Capitulo 7\Comic7_005\panel_3.jpg,Edrei looks worried at his side,¿ESCORIA?
data\output\divide_images_train\Capitulo 7\Comic7_005\panel_4.jpg,Edrei is running in a arena with his hands lifted,
data\output\divide_images_train\Capitulo 7\Comic7_006\panel_1.jpg,Edrei and Escoria are crossing a iron gate. Edrei and Escoria are speaking,VI A QUIÉN CONJURABA A LA MANTÍCORA. ERA UN ELFO
data\output\divide_images_train\Capitulo 7\Comic7_006\panel_2.jpg,Escoria stands with an angry face,BUSQUÉMOSLE. NOS DEBE UN PAR DE RESPUESTAS
data\output\divide_images_train\Capitulo 7\Comic7_006\panel_3.jpg,Escoria and Edrei are hidden near the bottom of a staircase,
data\output\divide_images_train\Capitulo 7\Comic7_007\panel_1.jpg,An elf walks down a staircase with a concerned face,ES ESE
data\output\divide_images_train\Capitulo 7\Comic7_007\panel_2.jpg,Escoria stands behind a man with a long black hair,
data\output\divide_images_train\Capitulo 7\Comic7_007\panel_3.jpg,Escoria puts her hand in a elf's face to shout him. Escoria looks angry and decided. The elf looks surprised,HMM!!
data\output\divide_images_train\Capitulo 7\Comic7_007\panel_4.jpg,A hand takes a stick from a belt,
data\output\divide_images_train\Capitulo 7\Comic7_007\panel_5.jpg,Edrei smiles and holds a wand,¿NO TE DIJERON EN LA ESCUELA DE MAGIA QUE TENÍAS QUE CUIDAR DE TU VARITA?
data\output\divide_images_train\Capitulo 7\Comic7_007\panel_6.jpg,Escoria has her hand on a man's mouth. Escoria has an angry and intimidating face. A elf looks scared,TÚ Y YO VAMOS A TENER UNA CHARLA PRIVADA ¿TE PARECE?
data\output\divide_images_train\Capitulo 8\Comic8_001\panel_1.jpg,A man with a red jacket is standing looking throw a window with green curtains,
data\output\divide_images_train\Capitulo 8\Comic8_001\panel_2.jpg,A luxury door with ornaments is half open,MI SEÑOR. HA LLEGADO
data\output\divide_images_train\Capitulo 8\Comic8_002\panel_1.jpg,A man with a red jacket is standing looking throw a window with green curtains,
data\output\divide_images_train\Capitulo 8\Comic8_002\panel_2.jpg,A elf with a black suit crosses a luxury door with serious expression,
data\output\divide_images_train\Capitulo 8\Comic8_002\panel_3.jpg,E elf is looking throw a room with a library and a desktop with a big painting of a man on the wall,
data\output\divide_images_train\Capitulo 8\Comic8_003\panel_1.jpg,A man with a red jacket and white eyes is standing in front of a window,
data\output\divide_images_train\Capitulo 8\Comic8_003\panel_2.jpg,,ESPERO QUE SEAS CAPAZ DE HACER LO QUE DICES SER CAPAZ. CUESTAS DEMASIADO
data\output\divide_images_train\Capitulo 8\Comic8_003\panel_3.jpg,A elf stands with his arms crossed and a quiet face,LE ASEGURO QUE MIS HONORARIOS SON UN REFLEJO DE MIS CAPACIDADES. MI SEÑOR
data\output\divide_images_train\Capitulo 8\Comic8_003\panel_4.jpg,A man with white eyes and a red jacket stands in front of a window. Furrows his brow,
data\output\divide_images_train\Capitulo 8\Comic8_004\panel_1.jpg,A decorated desktop with a small sack on it and luxurious chair, COGE LA BOLSA DE MONEDAS DEL ESCRITORIO. AHÍ TIENES LA MITAD. LA OTRA MITAD CUANDO TERMINES EL TRABAJO
data\output\divide_images_train\Capitulo 8\Comic8_004\panel_2.jpg,,LO QUIERO MUERTO...
data\output\divide_images_train\Capitulo 8\Comic8_004\panel_3.jpg,A hand grabbing a small sack,ASÍ SE HARÁ
data\output\divide_images_train\Capitulo 8\Comic8_004\panel_4.jpg,A person crossing a luxury door with golden ornaments,
data\output\divide_images_train\Capitulo 8\Comic8_005\panel_1.jpg,A man with a shady face and white eyes looks angry in front of a window,VIGÍLALE. YA SABES QUE HACER...
data\output\divide_images_train\Capitulo 8\Comic8_005\panel_2.jpg,A person with a cloack and a hood hides in the shadows near a green curtain,
data\output\divide_images_train\Capitulo 8\Comic8_006\panel_1.jpg,A city with oriental buildings and a river,
data\output\divide_images_train\Capitulo 8\Comic8_006\panel_2.jpg,Escoria holds an elf by the clothes on a ledge over the void with a city in the background,
data\output\divide_images_train\Capitulo 8\Comic8_006\panel_3.jpg,Escoria threats an elf grabbing him by the clothes,¿QUIÉN TE ORDENÓ HACER ESTO?
data\output\divide_images_train\Capitulo 8\Comic8_006\panel_4.jpg,Edrei stands with worried and concerned expression,
data\output\divide_images_train\Capitulo 8\Comic8_007\panel_1.jpg,An elf face shows a sad expression. He's crying,OS LO DIRÉ. OS LO DIRÉ TODO. ¡PERO NO ME TIRES!
data\output\divide_images_train\Capitulo 8\Comic8_007\panel_2.jpg,An elf has a surprised face with tears. Escoria's face is shocked, NGH!!
data\output\divide_images_train\Capitulo 8\Comic8_007\panel_3.jpg,Escoria's face is shocked and surprised,
data\output\divide_images_train\Capitulo 8\Comic8_008\panel_1.jpg,Edrei and Escoria are leaning on a ledge. Edrei shows impacted and surprised. Escoria has a quiet face. A dead body lies with blood on the floor surrounded by people,
data\output\divide_images_train\Capitulo 8\Comic8_008\panel_2.jpg,Edrei is standing near a ledge with a surprise expression. Escoria leans and show dissapointment,
data/output/divide_images_train/Capitulo 8/Comic8_008/panel_3.jpg,A corpse is on a pool of blood. Some people walks around,
data\output\divide_images_train\Capitulo 8\Comic8_008\panel_4.jpg,Escoria is focusing her look on somewhere. A black person is jumping on a building's roof in a city,
data\output\divide_images_train\Capitulo 8\Comic8_008\panel_5.jpg,Escoria seems surprised and fits her look,
data\output\divide_images_train\Capitulo 8\Comic8_008\panel_6.jpg,A figure of a person is jumping on a roof in a city,
data\output\divide_images_train\Capitulo 9\Comic9_001\panel_1.jpg,Escoria stands with a curious expression,!
data\output\divide_images_train\Capitulo 9\Comic9_001\panel_2.jpg,Edrei stands near a ledge and shows impacted,
data\output\divide_images_train\Capitulo 9\Comic9_001\panel_3.jpg,Escoria turns her head to the right,
data\output\divide_images_train\Capitulo 9\Comic9_001\panel_4.jpg,Escoria is grabbing Edrei's arm and walks. Edrei is looking throw a ledge,
data\output\divide_images_train\Capitulo 9\Comic9_002\panel_1.jpg,Edrei is wanking with a hang grabbing his arm. He looks upset,
data\output\divide_images_train\Capitulo 9\Comic9_002\panel_2.jpg,Edrei cries with a sad expression,
data\output\divide_images_train\Capitulo 9\Comic9_003\panel_1.jpg,Escoria and Edrei are walking throw a street by night. Escoria puts her hand in Edrei's shoulder. They are turned back,
data\output\divide_images_train\Capitulo 9\Comic9_003\panel_2.jpg,A hand push away Edrei. Edrei is walking turned back,¡AY!
data\output\divide_images_train\Capitulo 9\Comic9_004\panel_1.jpg,A hand is near Edrei. Edrei cries with a scared expression,
data\output\divide_images_train\Capitulo 9\Comic9_004\panel_2.jpg,Escoria stands with both arma open,¿QUÉ NARICES TE PASA?
data\output\divide_images_train\Capitulo 9\Comic9_004\panel_3.jpg,Edrei cries with a sad expression and holds his arm,
data\output\divide_images_train\Capitulo 9\Comic9_005\panel_1.jpg,Edrei is crying with a tired face,
data\output\divide_images_train\Capitulo 9\Comic9_005\panel_2.jpg,Edrei turns away his head with an angry face. He is crying,
data\output\divide_images_train\Capitulo 9\Comic9_005\panel_3.jpg,Escoria grunts and looks irritable,
data\output\divide_images_train\Capitulo 9\Comic9_006\panel_1.jpg,Escoria has her eyes closed and calm expression,DÉJALO. VAMOS...
data\output\divide_images_train\Capitulo 9\Comic9_006\panel_2.jpg,A street  with a stairway,NO PUDIMOS EVITARLO...
data\output\divide_images_train\Capitulo 9\Comic9_007\panel_1.jpg,Escoria and Edrei are walking throw a street in the night,
data\output\divide_images_train\Capitulo 9\Comic9_007\panel_2.jpg,Edrei and Escoria are entering a building with some lights. The building's door is open,
data\output\divide_images_train\Capitulo 9\Comic9_008\panel_1.jpg,Escoria look back her with a concerned expression. A man is hiding behind a door,
data\output\divide_images_train\Capitulo 9\Comic9_008\panel_2.jpg,A hand is possed in a door and opens it,
data\output\divide_images_train\Capitulo 9\Comic9_008\panel_3.jpg,A woman is walking at night throw a termal garden,
data\output\divide_images_train\Capitulo 9\Comic9_009\panel_1.jpg,A woman is swimming on a zen garden,
data\output\divide_images_train\Capitulo 9\Comic9_009\panel_2.jpg,A woman is swimming and relax lying her head to a rock,
data\output\divide_images_train\Capitulo 9\Comic9_010\panel_1.jpg,Edrei is sitted down with his arms en the belly. Edrei is sad.
data\output\divide_images_train\Capitulo 9\Comic9_011\panel_1.jpg,Escoria is naked and turned back. He is throwing water to her shoulder on a termal baths,
data\output\divide_images_train\Capitulo 9\Comic9_011\panel_2.jpg,Edrei lies on a bed with a sad expression and cries,
data\output\divide_images_train\Capitulo 9\Comic9_011\panel_3.jpg,A black covered book,
data\output\divide_images_train\Capitulo 9\Comic9_012\panel_1.jpg,Escoria is sleepeng on a bed with red sheets,
data\output\divide_images_train\Capitulo 9\Comic9_012\panel_2.jpg,Edrei is sanding and looking throw a window. The moon lights in the night,
data\output\divide_images_train\Capitulo 10\Comic10_001\panel_1.jpg,A ship is sealing throw the sea,
data\output\divide_images_train\Capitulo 10\Comic10_001\panel_2.jpg,Edrei leans on a wall with a sad expression,
data\output\divide_images_train\Capitulo 10\Comic10_002\panel_1.jpg,A hand lean on a wall,
data\output\divide_images_train\Capitulo 10\Comic10_002\panel_2.jpg,Edrei with a sad expression,
data\output\divide_images_train\Capitulo 10\Comic10_002\panel_3.jpg,Escoria is standing with her arms closed and a relaxed face,
