;Texto_tweet;valoracion_corpus;valoracion_calculada;Palabras_encontradas
42;Ayer veíamos como ardía uno de los monumentos más visitados de Europa  es uno de los epicentros de cultura en el mundo y ayer quedó devastada  Desde queremos mandar todo el ánimo y el cariño posible a la familia parisina ;-1.0;0.0; devast(-1.0) anim(1.0)
43;Mi sobrina de 18 años está muy decepcionada  Iba a votar por primera vez y no ha podido  porque constaba como que había pedido el voto por correo  Un fallo  no sé de quién  pero que no se soluciona en el propio día y deja a algunos ciudadanos sin votar ;-1.0;0.0; decepcion(-1.0) no(0.0) no(0.0) no(0.0) propi(1.0)
44;Arya es mi salvador  nada me faltará;1.0;-1.0; falt(-1.0)
45;Cómo un Ave Fénix renacerás de tus cenizas 2016;1.0;0.0; renac(1.0) ceniz(-1.0)
46;Messi marcó su gol 600 de tiro libre  Una joya  30 ;1.0;0.0;
47;Es más fácil meterle gol a Ter Stegen que llegar a tu corazón ;-1.0;1.0; facil(1.0)
48;El Barcelona cada vez más cerca de levantar otra liga  su octava en diez años Felicidades Barcelona;1.0;0.0; cerc(-1.0) felic(1.0)
49;Con el corazoncito lleno porque esta hermosa familia que conocí por sentirme más cerca de y que me han acogido como una más de ellos  siempre me demuestran su cariño y apoyo en las malas y en las buenas  Graciasss;1.0;0.0; llen(1.0) hermos(1.0) sent(-1.0) cerc(-1.0) mal(-1.0) buen(1.0)
50;Lo más épico que he visto joder;1.0;0.0;
51;Hay imágenes que no deberían verse nunca  Una vez más el fuego nos recuerda que no somos tan poderosos  Es un día triste para todos los que amamos la belleza;-1.0;0.0; no(0.0) no(0.0) poder(1.0) trist(-1.0)
52;siempre he pensado que el rojo me sienta mejor que el azul  y punto  Na  ahora en serio  hay que ver cómo ha cambiado la historia  MENOS MAL YA ERA HORA;1.0;-1.0; mejor(1.0) seri(-1.0) cambi(1.0) men(-1.0) mal(-1.0)
53;Que triste me siento  La catedral d q resistió las mayores desgracias  q fue un modelo d belleza y cultura  q era el sueño d todo arquitecto e ingeniero civil  Solo espero q pronto la arquitectura e ingeniería moderna logren ponerla d pie  Invaluable riqueza histórica;-1.0;1.0; trist(-1.0) desgraci(-1.0) modern(1.0) logr(1.0) riquez(1.0)
54; Qué tristeza    se pierde una creación del espíritu y no el espíritu en sí mismo  que no cesará de enriquecer la humanidad  Trés bien dit ;-1.0;0.0; tristez(-1.0) no(0.0) no(0.0) ces(-1.0) enriquec(1.0) bien(1.0)
55;Y entre la lluvia  la tormenta y el sol un sinfín de palabras con alas que nos llevan a los lugares más recónditos de otros o de nosotros mismos  Feliz;1.0;0.0; torment(-1.0) feliz(1.0)
56;8 de 11  Historia de la Liga Visca el Barça;1.0;0.0;
57;Mil gracias a los profesores  alumnos en prácticas de la  y por este día tan especial;1.0;0.0;
58;Qué bonito lo que hizo el hoy por el  ;1.0;0.0;
59;Me voy a dormir orgasmada perdida  Gracias por tanto y perdón por tan poco  ;1.0;0.0; orgasm(1.0) perd(-1.0)
60;Ya he ejercido mi derecho al voto y con mucho orgullo;1.0;0.0;
61;Hoy es lunes  pero no es un lunes malo  Buenos resultados de elecciones y capítulo de  Qué más se puede pedir ;1.0;0.0; no(0.0) mal(-1.0) buen(1.0)
62;Ante este panorama  los jóvenes defienden su futuro  Orgullosa de ellos ;1.0;0.0;
63;no hago spoiler  solo decir que este capítulo ha sido un capitulazo  y que te tiene en vilo todo el capítulo hasta el final  una joya vamos;1.0;-1.0; vil(-1.0)
64;Que locos nos volvimos con este golazooooo de tiro libre del mejor jugador del mundo;1.0;0.0; loc(-1.0) mejor(1.0)
65;Campeóne Campeóne Olé Olé Olé;1.0;0.0;
66;Hoy hace un día precioso  Disfrutadlo por favor  dejad las penas a un lado y sonreid a la vida volverá a reconstruirse gracias a ls solidaridad de todos ;1.0;-1.0; pen(-1.0) reconstru(-1.0)
67;A que vamos a reconstruir Notre Dame antes de mandar un solo barco de salvamento al Mediterráneo  a que sí ;-1.0;0.0; reconstru(-1.0) salvament(1.0)
68;Barcelona campeón de el equipo más regular en la temporada 18 19 Felicitaciones al;1.0;0.0;
69;La espera a merecido la pena  El mejor capítulo de las 8 temporadas;1.0;0.0; pen(-1.0) mejor(1.0)
70;Sin palabras  el capítulo de hoy fue brutal  Arya la puta ama;1.0;-1.0; brutal(-1.0)
71;Cacharon que en las gringolandias lleva varias semanas moviendo a niños y jóvenes cada viernes en manifestaciones promedio ambiente  Que bonito;1.0;0.0;
72;SEPA La Cruz Roja distribuyó ayuda humanitaria a pacientes en Caracas este;1.0;0.0;
73;El último capitulo de ha sido sencillamente espectacular  Vaya final  la banda sonora es también brutal  Pero que le den un al de imagen  casi me dejo los ojos tratando de vislumbrar algunas escenas ;1.0;-1.0; brutal(-1.0)
74;En colapso emocional con esta escena;-1.0;0.0;
75;El sigarrito de después del capitulazo que nos acabamos de tragar ostia puta;1.0;-1.0; trag(-1.0)
76;Ante estos resultados  expectativa de avances decididos en lucha contra la pobreza infantil  protección de la infancia contra la violencia  equidad en la educación  Que la infancia encuentre en las coaliciones el lugar que necesita tener;1.0;-1.0; expect(1.0) avanc(1.0) pobrez(-1.0) violenci(-1.0) necesit(-1.0)
77;Un gran daño a la historia de la humanidad;-1.0;0.0;
78;Siempre serás mi atracción favorita de París;1.0;0.0;
79;Arranca En el Wanda Metropolitano vs;1.0;0.0;
80;Gracias Lio Messi por existir en esta época  gracias por todo el fútbol  nunca duden quién es el puto amo de esto ;1.0;0.0;
81;GOL DE Lo hizo Lionel Messi a los 37 minutos del segundo tiempo para poner el 30 frente a  Semifinal ida ;1.0;0.0;
82;El afecta a todo el mundo  pero quienes vivimos en Andalucía lo padecemos más y peor  Si lo sabes bien  firma esta petición y pídele a la Junta una plan urgente;-1.0;1.0; viv(1.0) padec(-1.0) bien(1.0)
83;No puedo creer tanta crueldad contra su propio pueblo VenezuelaLibre;-1.0;0.0; no(0.0) crueld(-1.0) propi(1.0)
84;Y después de todo resulta que en este día del libro no tengo nada de Shakespeare ni de Cervantes en mi biblioteca  así que aquí les dejo algunos de mis favoritos ;1.0;0.0; no(0.0)
85;Antonio Rodríguez Luna  Don Quijote en el Exilio  1973  Una de las lecturas del Quijote de la Mancha que más me gusta es la del exilio del país  de la realidad  de la propia palabra ;1.0;0.0; don(-1.0) manch(-1.0) gust(1.0) propi(1.0)
86;Esta la gente que todavía no entendió que la iglesia no es solo un edificio;-1.0;0.0; no(0.0) no(0.0)
87;serás libre de la opresión de este gobierno  Venezuela será libre ;1.0;0.0;
88;Antes de que se me pase  el capítulo 3 de la octava temporada de es digno para enmarcar y ponerlo en cualquier museo en bucle eterno;1.0;0.0;
89;Campeonesss La 2 6 Liga ya es del 8 ligas de 1 1 de un equipo de leyenda La hegemonía de este equipo en la Liga es BRUTAL  de  Su 1 0 ª vía;1.0;-1.0; brutal(-1.0)
90;Se escuchó en alguna ocasión  Mucha gente reza dentro de Nuestra Señora de París  pero cuando lo coros cantan  entonces realmente las oraciones llegan al cielo  Impacientemente esperaremos el resurgimiento de sus cantos  de su música  de su grandeza;-1.0;1.0; ciel(1.0) impacient(-1.0) grandez(1.0)
91; La verdad sobre el Señor de la Luz y su apoyo al Rey de la Noche;1.0;0.0;
92;Un golazo de tiro de libre de  le dio el tercero al y un pie y medio adentro de la de la copa  El 7 de mayo la vuelta en  Vía ;1.0;0.0;
93;Desgarrador  esta es la realidad que se vive en;-1.0;1.0; viv(1.0)
94;Resultado injusto  Un Barça mediocre se lleva una ventaja excesiva;-1.0;1.0; ventaj(1.0)
95;Nada es para siempre  nos lo recuerda ;-1.0;0.0;
96;El mejor puñetero capítulo de la historia de las series  INIGUALABLE  Cásate conmigo;1.0;0.0; mejor(1.0) seri(-1.0)
97;Esta promo es un mal augurio para Brienne  estoy segura al 300 que cae esta noche;-1.0;0.0; mal(-1.0) segur(1.0)
98;nació para SER LIBRE En toda Venezuela hoy la gente en la calle resteada con el Presidente ;1.0;-1.0; call(-1.0)
99;Así se desplomaron  abrazadas por las llamas  las agujas en la Catedral de en;-1.0;0.0;
100;Nosotros ya hemos jugado  ahora os toca a vosotros hacernos sentir orgullosos del voto;1.0;-1.0; sent(-1.0)
101;La adolescente nominada al de la Paz;1.0;0.0;
102;Ter Stegen tiene las manos de Dios;1.0;0.0;
103;En Galicia VOX no ha entrado Más orgullosa no puedo estar;1.0;0.0; no(0.0) no(0.0)
104;Aunque hace mucho prefiero las versiones en digital de los libros  Soy de las que disfrutan entrar a una librería revisar varios autores  leer el resumen de los libros  romper los envoltorios  hojear un libro  el olor de las hojas es increíble ;1.0;0.0; disfrut(1.0) romp(-1.0)
105;Un abrazo a los colaboradores de en  sólidos en sus posiciones de trabajo como respuesta a quienes intentan destrozar la obra de la Revolución Bolivariana  ;1.0;-1.0; destroz(-1.0)
106;Conmemoramos el día del idioma Representación de fragmentos de las obras la Ilíada  la Odisea y la Divina Comedia ;1.0;-1.0; odise(-1.0)
107;Así estaba el 22 de marzo cuando le hice esta foto mientras paseábamos davidfigueras y yo  No entramos  había una cola enorme y no teníamos tiempo  Ahora me arrepiento ;-1.0;0.0; no(0.0) no(0.0)
108;sos todo lo que está bien ;1.0;0.0; sos(-1.0) bien(1.0)
109;Solo puedo decir que anoche vi y casi me da algo  el mejor capítulo de todas las temporadas   Jonh nieve mata al caminante ;1.0;0.0; mejor(1.0) mat(-1.0)
110;Vaya nochecita de emociones  Y en un rato  Menos mal que ya me vi hace unos días ;1.0;-1.0; men(-1.0) mal(-1.0)
111;Ese tiro libre de Messi es Poesía;1.0;0.0;
112;En los momentos tristes leo  en los momentos alegres leo  todo momento en mi vida  es una excusa para tomar un libro y disfrutar de uno de los mayores placeres de la vida  leer  y aprender  El Universo entero est  a a mis pies cuando leo ;1.0;0.0; trist(-1.0) alegr(1.0) tom(-1.0) disfrut(1.0)
113;Me sumo a los Tinchos y las Pilis con mi foto en Fuera de broma  todavía no puedo creer lo que pasó  infinita por la pérdida cultural e histórica;-1.0;0.0; brom(1.0) no(0.0) perd(-1.0)
114;Messi le acaba de meter un gol de otro planeta al Liverpool en la INCREÍBLE ese tiro libre;1.0;0.0;
115;La Unión Europea ha sido absolutamente inútil en ayudar a recuperar la democracia o preservar los derechos humanos en  Muchas gracias por su opinión;-1.0;1.0; recuper(1.0)
116;Envidia de mis Hermanos catalanes y vascos  como se nota que hay culturas e idiomas diferentes  Eso define una nación;1.0;-1.0; envidi(-1.0)
117;Anheló de vivir  la vida de Vincent Van Goh  de mis libros favoritos;-1.0;1.0; viv(1.0)
118;Me parece mentira  que pena más grande ;-1.0;0.0; pen(-1.0) grand(1.0)
119;Clima  Greta Thunberg interviene al Parlamento Europeo;1.0;0.0;
120;Oficialmente concluido este fin de semana  tengo algo que decir  Gracias  gracias Hace mucho no gritaba como niño pequeño frente a una pantalla  Gracias infinitas ;1.0;-1.0; no(0.0) grit(-1.0)
121;Barcelona CAMPEÓN de Con gol de nada más y nada menos que  consigue su OCTAVO título de las ULTIMAS once ligas;1.0;-1.0; men(-1.0)
122;El Siglo XXI tiene un dueño en el Fútbol de  BARCELONA;1.0;0.0;
123;Más que lista para ver Liverpool Barcelona;1.0;0.0;
124;Gracias por la donación que seguramente efectuarà para reconstruir;1.0;0.0; segur(1.0) reconstru(-1.0)
125;El se proclama CAMPEÓN DE LIGA;1.0;0.0;
126;Terrible lo que está pasando en  Una plegaria sincera por mis amistades venezolanas  Que Dios les dé fuerza y entendimiento para hacer lo correcto ;-1.0;1.0; terribl(-1.0) sincer(1.0) fuerz(1.0)
127;Força Barça Campeones de un torneo largo durante años y años;1.0;0.0;
128;Nuevamente Messi enamorando en la y los memes están recién salidos del horno ;1.0;0.0;
129;IMPOSIBLE DE VER  Melisandre podría estar ya en Invernalia y esta teoría lo demuestra;-1.0;0.0;
130;Cuando digo que Arya Stark es mi favorita es por algo  ;1.0;0.0;
131;Todos con Francia y mi pésame a sus familiares;-1.0;0.0;
132;Lamentable lo que se está viviendo en venezuela  Dios sea con ustedes ;-1.0;0.0; lament(-1.0) viv(1.0)
133;Messi  eres el amo y señor del fútbol mundial  Ya no hay más adjetivos para ese jugador;1.0;0.0; no(0.0)
134;Mi momento más emotivo del día  fue ver salir al cuerpo de bomberos de la Catedral de Notre Dame y escuchar una ola de aplausos de toda la gente que estábamos cerca ;1.0;-1.0; emot(-1.0) cerc(-1.0)
135;Llevo todo el día callada porque tenía miedo de lo que podía pasar esta noche  No es mi resultado soñado claro  pero solo puedo decir  ALIVIO ;1.0;-1.0; call(-1.0) mied(-1.0) no(0.0) alivi(1.0)
136;Pff que tristeza ver como algo TAN BONITO y espectacular ha quedado arrasado por el fuego  la experienza de subir a esas torres fue de las mejores que he tenido nunca;-1.0;0.0; tristez(-1.0) arras(-1.0) sub(1.0) mejor(1.0)
137;Reflexión  al final triunfó el  sólo sí es sí   Y se hizo el silencio  lo escuchan  La demostración aplastante de que la solución no está en gritar  Arriba España   Porque la bandera se lleva en los hechos  y no en la muñeca ;1.0;-1.0; triunf(1.0) silenci(-1.0) no(0.0) grit(-1.0) no(0.0)
138;Impresionante lo de Messi es un Dios Que pena que no sea Vasco;1.0;-1.0; impresion(-1.0) pen(-1.0) no(0.0)
139;Soy el único que de tantos nervios le va a petar un pulmón o algo  QUE EMPIEZE YAAAA;1.0;-1.0; nervi(-1.0)
140;Cuenca  2 diputados para el PSOE  de lo que más orgullo puedo sentir en estos momentos  Gracias  de verdad ;1.0;-1.0; sent(-1.0)
141;Es incalculable lo que se pierde con el incendio de  historia y relevancia arquitectónica  simbolismo  trascendencia y patrimonio  Para quienes pudimos conocerla  sólo esperamos que la reconstrucción sea magnífica  pero difícil recuperará su valor y majestuosidad ;-1.0;1.0; incendi(-1.0) recuper(1.0) valor(1.0)
142;París bien vale una misa  o dos  Que pena  NotreDame;-1.0;1.0; bien(1.0) val(1.0) pen(-1.0)
143;Hoy más que nunca  orgullosa de ser española ;1.0;0.0;
144;Extremadamente brutal  episodio mítico  de leyenda  sin palabras  antológico  de locos  me quedo sin adjetivos para el mejor capitulo de una serie que haya visto en mi vida   INSUPERABLE  que barbaridad;1.0;-1.0; brutal(-1.0) loc(-1.0) mejor(1.0) seri(-1.0) insuper(1.0)
145;Golazo se D10s  A llorar  merengues de mierda ;1.0;-1.0; llor(-1.0)
146;El frío no ha podido con la emoción del en Tres Cantos  Enhorabuena a por la organización;1.0;0.0; no(0.0)
147;Este si es un verdadero capítulazo de la última temporada  BRUTAL;1.0;-1.0; brutal(-1.0)
148;Los daños a la Catedral de  son para la humanidad toda  Obra maestra del gótico francés  y de la arquitectura mundial  Su recuperación será fundamental  como testigo de la historia europea ;-1.0;1.0; recuper(1.0)
149;Esto ha sido más emocionante que las votaciones en Eurovision;1.0;0.0;
150;No hay palabras suficientes para describir lo que hizo una joya de golazo que quedará en la historia de la es magnífico poder presenciar a este fenómeno del fútbol;1.0;0.0; no(0.0)
151;Esto representa a en este momento Enjoy;1.0;0.0;
152;Increíble No hay palabras  Solamente EL Messi ;1.0;0.0; no(0.0)
153;El capítulo me ha dejado un buenísimo sabor de boca y al final lo he disfrutado muchísimo  pero eso no quita que haya habido pequeños detalles que me han decepcionado un poco;1.0;0.0; sabor(1.0) disfrut(1.0) no(0.0) quit(-1.0) decepcion(-1.0)
154;El Barcelona es campeón de la la número 26 en su palmares  Gracias a la directiva  al equipo técnico y a los jugadores  Gracias Barcelona es Campeón;1.0;0.0;
155;PERO QUÉ GOLAZO     Tremendo Messi ;1.0;-1.0; tremend(-1.0)
156;Gracias por lo de hoy izquierda  gracias ;1.0;0.0;
157;Que Pena enorme   un beso grande   cuánto me acordé de vos  ;-1.0;0.0; pen(-1.0) grand(1.0)
158;Estos resultados sí son España  este sí es mi país  Orgulloso de esta bandera;1.0;0.0;
159;Leer quizás no te haga mas inteligente  pero te hará pensar  y el pensar te hace libre ;1.0;0.0; no(0.0)
160;Hoy día grandioso además del también es el día de la en Alemania ;1.0;0.0;
161;Pues me sumo a los elogios del CAPITULACO de No me esperaba ese giro final  No en este momento  Magnifico;1.0;0.0; no(0.0) no(0.0)
162;Chicos festejar el incendio de porque ahí se quemaba gente y abusaban pibes es como festejar que se incendien las ruinas aztecas porque es donde se hacían sacrificios humanos  La Iglesia no va a dejar de encubrir la pedofilia porque se les prendió fuego una Catedral ;1.0;-1.0; festej(1.0) incendi(-1.0) festej(1.0) incendi(-1.0) ruin(-1.0) sacrifici(-1.0) no(0.0)
163;  Pseudospoiler   Bueno vaya decepción más grande  la gente que lleve desde 2011 viéndola lo siento por haber esperado 8 años para esto;-1.0;1.0; buen(1.0) decepcion(-1.0) grand(1.0)
164;Gooooooool de Que listo es el cabron 10;1.0;0.0;
165;Así de emocionadas están las lectoras de después de conseguir su firma en este ;1.0;0.0;
166;Orgullo de un país plural  gracias España;1.0;0.0;
167;La defensa del Barcelona está más dura que los calzones de mi suegra ;1.0;-1.0; dur(-1.0)
168;El capítulo se hace largo  pero de lo mucho que sufres Tremendo ;1.0;-1.0; sufr(-1.0) tremend(-1.0)
169;Mi enhorabuena al PSOE  Los españoles han hablado  Ahora solo espero que el Gobierno de España no dependa de los independentistas ;1.0;0.0; no(0.0)
170;Excelentes Piqué  Lenglet muy nervioso  Exquisito Busquets ;1.0;0.0; excelent(1.0) piqu(-1.0) nervios(-1.0) exquisit(1.0)
171;Qué feliz me hace ver tantos colores en nuestro Congreso de los Diputados  a pesar de  Cuánto ha avanzado España en menos de diez años  ElecccionesGenerales28A;1.0;0.0; feliz(1.0) pes(-1.0) avanz(1.0) men(-1.0)
172;Hasta trabaja en el y lo hace al ciento por ciento  Gracias por tanto carajo Qué GOOOOOOL;1.0;0.0;
173;Ha ganado el futuro y ha perdido el pasado;1.0;0.0; gan(1.0) perd(-1.0)
174;Y  a colación del  en nuestra pestaña de  recomendaciones  os proponemos algunos Agracedemos que nos recomendéis vosotros también algunos que merezcan la pena  para añadirlos  Si os queréis extender  mucho mejor que sea ahí en la pestaña ;1.0;0.0; pen(-1.0) mejor(1.0)
175;Estos ojitos  iluminados con la luz del sol  quieren ver a Maduro de una vez por todas fuera de ;1.0;0.0;
176;El Bravo pueblo de en las calles este;1.0;0.0; brav(1.0) call(-1.0)
177;Esta es la España de la que estoy orgullosa  la que frena el fascismo y sale a votar en masa  No pasarán ;1.0;0.0; no(0.0)
178;Si en la vas perdonando al final acabas palmando  pero bien por mucho que haya momentos que seas mejor  Tristemente se viene otro triplete;-1.0;1.0; palm(-1.0) bien(1.0) mejor(1.0)
179;Que bonito el mapa tooo rojo;1.0;0.0;
180;En ningún sitio aprendí tanto de mí y de los demás como en una cancha      ;1.0;-1.0; siti(-1.0)
181;Muy orgullosa de la gente joven de este país y de la de todo el mundo;1.0;0.0;
182;La literatura es una defensa contra las ofensas de la vida  Cesare Pavese;1.0;0.0;
183;Tío mi lectura para los viajes es Un veterano de tres guerras de Guillermo Parvex  mire justo ahora me voy leyendo;1.0;-1.0; guerr(-1.0)
184;Cuáles son los mejores arranques de libros  Para mí   Muchos años después  frente al pelotón de fusilamiento  el coronel Aureliano Buendía había de recordar aquella tarde remota en que su padre lo llevó a conocer el hielo  ;1.0;-1.0; mejor(1.0) fusil(-1.0) record(-1.0) remot(-1.0)
185;Gracias al VAR esto ya no es fútbol  Es Handball cualquiera puede poner la mano y no lo pitan;-1.0;0.0; no(0.0) no(0.0)
186;La he podido ver y disfrutar en una de las sagas de videojuegos que más me gusta  Una lástima no haberla visto en persona;-1.0;1.0; disfrut(1.0) gust(1.0) lastim(-1.0) no(0.0)
187;Gracias feriado x caer en día de;1.0;-1.0; caer(-1.0)
188;SATISFACCIÓN  esa é a palabra ElecccionesGenerales28A;1.0;0.0;
189;de Dios  Impresionante su nivel mostrado  Hegemónico;1.0;-1.0; impresion(-1.0)
190;Este país cuando sale a la calle y ejerce la democracia es la hostia y no necesita milagros  Estoy tremendamente orgulloso de vivir en España y de mis compatriotas  Hoy sí que me dan ganas de pasear mi bandera ;1.0;-1.0; call(-1.0) no(0.0) necesit(-1.0) tremend(-1.0) viv(1.0) gan(1.0)
191;Enhorabuena al PSOE por este fantástico resultado ;1.0;0.0;
192;Orgullosa del día de hoy;1.0;0.0;
193;Pues el gran perdedor de la noche ha sido Pablo FraCASADO;1.0;-1.0; fracas(-1.0)
194;Hoy he votado por primera vez en mi vida  Hoy he votado gracias a ellas;1.0;0.0;
195;Servicio público y literario En la 45 Feria Internacional del Libro en Buenos Aires se puede encontrar esta joya a sólo 150 pesos argentinos  3  5 usd aprox  ;1.0;-1.0; buen(1.0) air(-1.0) pes(-1.0)
196;No lo puedo creer MESSI ES EL DIOS DEL FÚTBOL  El alfa y el omega  cronos  todo;1.0;0.0; no(0.0)
197;El Barcelona se proclama campeón de Los culés están a tan sólo SIETE ligas de empatar al Real Madrid ;1.0;0.0;
198;Gol de FIFA JAJAJA 20 Venga un 30 ;1.0;0.0;
199;  porque en lo más profundo de la posesión no estás en mí  no te alcanzo  no paso de tu cuerpo  de tu risa  hay horas en que me atormenta que me ames  ;-1.0;0.0; no(0.0) no(0.0) no(0.0) ris(1.0) atorment(-1.0)
200;Necesito un meme que defina mi felicidad por el fracaso de la derecha  sobre todo de vox  y la izquierda como ganadora  Aún hay esperanza en este país;1.0;-1.0; necesit(-1.0) felic(1.0) fracas(-1.0)
201;Bien Suárez Vaya instancia para romper el maleficiooo  ;1.0;0.0; bien(1.0) romp(-1.0)
202;INCREÍBLE  ESPECTACULAR  ÉPICO  el capítulo de hoy  En tensión hasta el final ;1.0;0.0;
203;Con ellos la vida se disfruta más  sin ellos  bueno  soy incapaz de concebir la sola idea ;-1.0;1.0; disfrut(1.0) buen(1.0)
204;ha agotado todos los calificativos posibles  Ha dejado tantos momentos para la historia que no hay manera de medirla  Rotunda e irrepetible obra maestra ;1.0;-1.0; agot(-1.0) no(0.0)
