;ID;texto_tweet_original;valoracion_corpus;Texto_tweet;valoracion_calculada
50;132;"Gol, gol y goooooool del único mejor ""9""  te amo Suárez😘😘 HASHTAG HASHTAG";1.0;Gol  gol y goooooool del único mejor  9  te amo Suárez;1.0
51;134;"HASHTAG: la ""estructura"" del monumento pudo ser salvada ""en su totalidad"", según los bomberos franceses. Los trabajos para apagar las llamas por completo continúan. https://t.co/AE9xZbZRZX [ct]";1.0; la  estructura  del monumento pudo ser salvada  en su totalidad   según los bomberos franceses  Los trabajos para apagar las llamas por completo continúan   ct;0.0
52;135;HASHTAG Uno de los mejores libros que he leído,  se los recomiendo. https://t.co/Wf0J5zK7xM;1.0;Uno de los mejores libros que he leído  se los recomiendo ;1.0
53;136;Y llegó el 600 te amo USER  HASHTAG;1.0;Y llegó el 600 te amo;0.0
54;138;Está claro que sin Messi no hubiera sido lo mismo pero aun así 8 de 11 es impresionante. Enhorabuena a todos los culés!!! 🏆🔴🔵🔴🔵#Campions HASHTAG HASHTAG https://t.co/Qo7oxF827r;1.0;Está claro que sin Messi no hubiera sido lo mismo pero aun así 8 de 11 es impresionante  Enhorabuena a todos los culés Campions;-1.0
55;139;Puta locura de capitulo. Lo mejor que he visto pero con diferencia HASHTAG;1.0;Puta locura de capitulo  Lo mejor que he visto pero con diferencia;0.0
56;140;Una auténtica desgracia!!! Ojalá todos y todas podamos volver a verla en todo su esplendor, aunque ya nunca será lo mismo HASHTAG https://t.co/Z0KfI9DSYI;-1.0;Una auténtica desgracia Ojalá todos y todas podamos volver a verla en todo su esplendor  aunque ya nunca será lo mismo;0.0
57;143;A propósito del HASHTAG 😍:   La de la Sorbona, la Pública de NY y otras bibliotecas, las más bonitas del mundo https://t.co/r4E5sjHxtf;1.0;A propósito del  La de la Sorbona  la Pública de NY y otras bibliotecas  las más bonitas del mundo;0.0
58;145;Una disculpa mis estimados hermanos de HASHTAG. La ignorancia de algunos Mexicanos es grande! Quiero a Venezuela libre! https://t.co/DS4UXSKVOT;1.0;Una disculpa mis estimados hermanos de  La ignorancia de algunos Mexicanos es grande Quiero a Venezuela libre;0.0
59;146;Ahora mismo el Barcelona es campeón ⏳ tic tac HASHTAG  ⚽️El gol de Messi, vale una liga 😅;1.0;Ahora mismo el Barcelona es campeón tic tac El gol de Messi  vale una liga;1.0
60;147;La Catedral de HASHTAG construida en 1163, ha sobrevivido a invasiones, revoluciones y guerras, pero un devastador HASHTAG acaba con ella.  Triste suceso para la HASHTAG HASHTAG.  📷 GetYourGuide HASHTAG HASHTAG https://t.co/RxEit4kNgm;-1.0;La Catedral de construida en 1163  ha sobrevivido a invasiones  revoluciones y guerras  pero un devastador acaba con ella  Triste suceso para la  GetYourGuide;-1.0
61;150;Acabo de ver el gol de Messi...  ¡TREMENDO! HASHTAG;1.0;Acabo de ver el gol de Messi  TREMENDO;-1.0
62;151;Feliz día del libro, y sean todos bienvenidos porque hay para todos los gustos. Siempre lleven un libro con ustedes.. HASHTAG https://t.co/FGjcnnSsJl;1.0;Feliz día del libro  y sean todos bienvenidos porque hay para todos los gustos  Siempre lleven un libro con ustedes  ;1.0
63;155;Independientemente al carácter religioso de HASHTAG hoy se ha dañado una de las creaciones humanas más grandes en la arquitectura y en tiempos en los que el hombre solo destruye eso si representa una pérdida notable.;-1.0;Independientemente al carácter religioso de hoy se ha dañado una de las creaciones humanas más grandes en la arquitectura y en tiempos en los que el hombre solo destruye eso si representa una pérdida notable ;0.0
64;157;Hoy es el HASHTAG. Desde El Ateneo en Buenos Aires, un lugar que hace honor a miles de libros, pero que aún no tiene todos los que quiero. La Biblioteca de mis sueños tiene amplias… https://t.co/xv9Gfk2Jk9;1.0;Hoy es el  Desde El Ateneo en Buenos Aires  un lugar que hace honor a miles de libros  pero que aún no tiene todos los que quiero  La Biblioteca de mis sueños tiene amplias;1.0
65;158;Jaén sin escaños de VOX y qué bien HASHTAG HASHTAG;1.0;Jaén sin escaños de VOX y qué bien;0.0
66;159;Impresionante!!! Brutal! Y... simplemente HASHTAG !!!! Que tensión continúa!!! HASHTAG HASHTAG HASHTAG HASHTAG;1.0;Impresionante Brutal Y   simplemente Que tensión continúa;-1.0
67;160;USER Si, la vi porque vi la película del Jorobado de HASHTAG, me da mucha tristeza lo que ha pasado, ojalá el enfermito esté bien.;-1.0;Si  la vi porque vi la película del Jorobado de  me da mucha tristeza lo que ha pasado  ojalá el enfermito esté bien ;-1.0
68;162;HASHTAG En una ocasión paseado a orillas del sena te encontramos majestuosa delante de nuestros ojos y ahora con el pueblo de HASHTAG seguro que muy pronto volveras a brillar así ,que no te quepa la menor duda querida HASHTAG  HASHTAG https://t.co/6GOvig1i2R;1.0;En una ocasión paseado a orillas del sena te encontramos majestuosa delante de nuestros ojos y ahora con el pueblo de seguro que muy pronto volveras a brillar así  que no te quepa la menor duda querida;1.0
69;163;Por favor, no publiques tus fotos con  HASHTAG! Este incendio es un evento desgarrador para HASHTAG y el mundo. Simplemente muestre su solidaridad con HASHTAG en esta terrible tragedia. ¡No todo es sobre ti! https://t.co/8YWz6CsDwM;-1.0;Por favor  no publiques tus fotos con Este incendio es un evento desgarrador para y el mundo  Simplemente muestre su solidaridad con en esta terrible tragedia  No todo es sobre ti;-1.0
70;166;Las penas del fútbol se pasan con fútbol...Messi un crack! HASHTAG;1.0;Las penas del fútbol se pasan con fútbol  Messi un crack;-1.0
71;174;FINAL 🏆 El Barça gana al Levante con un gol de Leo Messi y ya es CAMPEÓN DE LIGA 2018/19. ¡¡¡Felicidades al USER y a todos sus aficionados!!! 👏👏👏https://t.co/6mY4yOpBVQ HASHTAG HASHTAG https://t.co/WbFbAWg3i6;1.0;FINAL El Barça gana al Levante con un gol de Leo Messi y ya es CAMPEÓN DE LIGA 2018 19  Felicidades al y a todos sus aficionados;1.0
72;178;La foto es devastadora. Parece que al menos la estructura va a poder salvarse, pero la pérdida es terrible, irreparable, es una tragedia. Hoy es un día muy triste. HASHTAG https://t.co/5tFzI6Bhz1;-1.0;La foto es devastadora  Parece que al menos la estructura va a poder salvarse  pero la pérdida es terrible  irreparable  es una tragedia  Hoy es un día muy triste ;-1.0
73;179;Tragedia en HASHTAG HASHTAG Una gran perdida del patrimonio cultural de la humanidad. Acá imágenes de su interior, maqueta que muestran proceso de construcción y placa que recuerda su construcción, año 1.163. Increíble!!!!! que pena......@egocadavid USER https://t.co/vAKpX1AFJ7;-1.0;Tragedia en Una gran perdida del patrimonio cultural de la humanidad  Acá imágenes de su interior  maqueta que muestran proceso de construcción y placa que recuerda su construcción  año 1  163  Increíble que pena  ;-1.0
74;180;Campeooooones campeooooones olé olé olé !!! HASHTAG HASHTAG 🔵🔴 https://t.co/rU4MzPYEmT;1.0;Campeooooones campeooooones olé olé olé;0.0
75;188;HASHTAG HASHTAG HASHTAG HASHTAG  HASHTAG  Me sumo a las palabras del Santo Padre. Me siento muy triste por el incendio, me sumo al dolor del pueblo francés. Se qué será posible la reconstrucción de la Catedral, es una superviviente y resurgira. https://t.co/6fXLGSPZ9S;-1.0;Me sumo a las palabras del Santo Padre  Me siento muy triste por el incendio  me sumo al dolor del pueblo francés  Se qué será posible la reconstrucción de la Catedral  es una superviviente y resurgira ;-1.0
76;191;En el día del libro, se da gracias al autor, Pero contesta -es un placer- el lector. HASHTAG HASHTAG HASHTAG;1.0;En el día del libro  se da gracias al autor  Pero contesta es un placer el lector ;1.0
77;194;USER Que pena, de verdad. Que miserables, asco rotundo... Por una HASHTAG;-1.0;Que pena  de verdad  Que miserables  asco rotundo  Por una;-1.0
78;196;Hoy en nuestro blog os recomendamos 10 libros para todos los gustos, todas las edades y todos los bolsillos. ¡Feliz HASHTAG!  https://t.co/qkLKUglCXM https://t.co/njQHaPktXf;1.0;Hoy en nuestro blog os recomendamos 10 libros para todos los gustos  todas las edades y todos los bolsillos  Feliz;1.0
79;202;Todos podríamos opinar sobre lo que ocurre en HASHTAG pero hay un pequeño matiz, que no lo estamos viviendo. Lo siento mucho por todos aquellos que estáis sufriendo, el pueblo es el que está pagando el precio de las pugnas de poder de personas sin humanidad.;-1.0;Todos podríamos opinar sobre lo que ocurre en pero hay un pequeño matiz  que no lo estamos viviendo  Lo siento mucho por todos aquellos que estáis sufriendo  el pueblo es el que está pagando el precio de las pugnas de poder de personas sin humanidad ;-1.0
80;207;"Y para terminar el HASHTAG no puedo dejarme uno que para mí supuso un antes y un después en mi vida. Alguien me abrió los ojos de una manera bestial y siempre estaré eternamente agradecida. ""Educación, hándicap e inclusión"" de Nacho Calderón USER https://t.co/U7n2LR5Zuz";1.0;Y para terminar el no puedo dejarme uno que para mí supuso un antes y un después en mi vida  Alguien me abrió los ojos de una manera bestial y siempre estaré eternamente agradecida   Educación  hándicap e inclusión  de Nacho Calderón;0.0
81;209;Pero que viva el futbol!!! HASHTAG;1.0;Pero que viva el futbol;1.0
82;211;HASHTAG tristeza infinita.  El tiempo, la historia, los hechos van a explicarnos el HASHTAG;-1.0;tristeza infinita  El tiempo  la historia  los hechos van a explicarnos el;-1.0
83;213;Muy triste lo sucedido con la Cathedral de HASHTAG HASHTAG https://t.co/GoXI1vQp1g;-1.0;Muy triste lo sucedido con la Cathedral de;-1.0
84;215;Victoria para Venezuela!!!!!!!!!!! Maduro YA NO ESTÁ EN VENEZUELA! HASHTAG;1.0;Victoria para Venezuela Maduro YA NO ESTÁ EN VENEZUELA;1.0
85;218;Me gusta leer, tengo muchos libros nuevos, incluso sellados, pero no me da la cabeza para concentrarme y poder avanzar HASHTAG;-1.0;Me gusta leer  tengo muchos libros nuevos  incluso sellados  pero no me da la cabeza para concentrarme y poder avanzar;1.0
86;223;Triste lo de HASHTAG, simplemente triste...;-1.0;Triste lo de  simplemente triste ;-1.0
87;224;Nuestra historia se derrumba, arde en llamas.  Qué momento tan triste para la humanidad HASHTAG HASHTAG https://t.co/OxjY2QkRas;-1.0;Nuestra historia se derrumba  arde en llamas  Qué momento tan triste para la humanidad;-1.0
88;234;Sin duda alguna el capítulo de ayer, ha superado al capítulo de la boda roja y a la batalla de los bastardos, que en mi  opinión, eran los dos mejores...! Estoy que no puedo! Cuando acabe, quiero tenerla toda en 4K  Gracias USER  No quiero que acabe! HASHTAG HASHTAG;1.0;Sin duda alguna el capítulo de ayer  ha superado al capítulo de la boda roja y a la batalla de los bastardos  que en mi opinión  eran los dos mejores  Estoy que no puedo Cuando acabe  quiero tenerla toda en 4K Gracias No quiero que acabe;1.0
89;236;Que Suarez es lento, brusco, tosco y hasta bruto dicen. Pero dale una... una nada mas! Ahí estaaaa!! HASHTAG HASHTAG;1.0;Que Suarez es lento  brusco  tosco y hasta bruto dicen  Pero dale una  una nada mas Ahí estaaaa;-1.0
90;237;Repudiamos los intentos de golpe de estado a HASHTAG, a  HASHTAG  y los cubanos también apoyamos la HASHTAG. HASHTAG no está sola. HASHTAG y HASHTAG triunfarán, pese a los intentos de HASHTAG a q estamos sometidos. HASHTAG y HASHTAG...Venceremos!;1.0;Repudiamos los intentos de golpe de estado a  a y los cubanos también apoyamos la  no está sola  y triunfarán  pese a los intentos de a q estamos sometidos  y  Venceremos;-1.0
91;241;¡Feliz HASHTAG! 📚  Este tesoro de la foto es mi colección de libros sobre sexología, erótica y feminismo 💜  En Instagram he dejado la lista de títulos por si alguien quiere cotillearlos: https://t.co/jr2QIi9KFg  ¡Que disfrutéis mucho de los libros hoy y todos los días! 😚 https://t.co/n0uRdBvY2G;1.0;Feliz Este tesoro de la foto es mi colección de libros sobre sexología  erótica y feminismo En Instagram he dejado la lista de títulos por si alguien quiere cotillearlos  Que disfrutéis mucho de los libros hoy y todos los días;1.0
92;244;Ministerio del interior francés: dice que ' los bomberos no podrán salvar a Notre Dame ' HASHTAG https://t.co/ijjOI87Uot;-1.0;Ministerio del interior francés  dice que  los bomberos no podrán salvar a Notre Dame ;0.0
93;245;Es genial la gente aprovechando el incendio de HASHTAG para postear fotos diciendo «yo estuve ahí».;-1.0;Es genial la gente aprovechando el incendio de para postear fotos diciendo yo estuve ahí ;0.0
94;248;Uy, qué triste lo de HASHTAG lloro como precious, qué pérdida, qué dolor, ya no suban más fotos de su visita a París, que me remueve todo. https://t.co/7b7gH0rPFi;-1.0;Uy  qué triste lo de lloro como precious  qué pérdida  qué dolor  ya no suban más fotos de su visita a París  que me remueve todo ;-1.0
95;249;Hoy estoy disfrutando tanto tanto que hasta me he puesto la COPE!! 😂😂😂 HASHTAG HASHTAG HASHTAG;1.0;Hoy estoy disfrutando tanto tanto que hasta me he puesto la COPE;1.0
96;251;¡No dejes para mañana lo que puedes leer hoy 👀!  ¡Feliz HASHTAG! https://t.co/OiDh1fUHeA;1.0;No dejes para mañana lo que puedes leer hoy Feliz;1.0
97;252;Bella Nuestra Señora De París 🖤 HASHTAG https://t.co/Qv0E1z7LAN;1.0;Bella Nuestra Señora De París;0.0
